captured_at,topic,intent,source_count,max_score,evidence_use,recommended_next_action
2026-06-19T03:23:41.891Z,what is employee-generated content,definition,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,measure employee-generated content beyond impressions,measurement,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,employee-generated content vs employee advocacy,comparison,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,How do you turn employee expertise into useful LinkedIn posts?,how_to,6,50,discovery_only,route_to_topic_cartographer_and_source_registry_before_packet
2026-06-19T03:23:41.891Z,What are good examples of employee-generated content in B2B?,examples,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,"What can B2B teams learn from Clay, Lovable, and GitLab's public content loops?",case_study,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,How should B2B sales teams build LinkedIn content infrastructure?,how_to,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,How should teams review employee-generated content without making it generic?,how_to,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,9 ways to improve seo rankings and traffic,measurement,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,Should every employee post on LinkedIn?,objection,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,a new guide how to prove the value of b2b marketing,how_to,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,the ai perception-reality gap,other,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,How do answer engines decide which B2B content to cite?,aeo_strategy,3,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,introducing search generative ai performance reports in search console,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,a new resource for optimizing for generative ai in google search,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,11 ways to automate seo with agent a,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,how i use my ai marketing assistant after 200 hours,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,we analyzed 137k sites 97 of llms txt files never get read,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,how to level-up from seo tactician to search visibility leader,how_to,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,9 vibe coding examples ai apps you can use right now to grow your website,examples,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,what is ai sentiment analysis a marketer s guide,definition,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,bot traffic now exceeds traffic from human users,measurement,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,12 seo writing tips to earn visibility 2026,measurement,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,how rtcamp closed the ai perception gap costing them enterprise deals,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,why 62 of ai citations don t lead to brand mentions study,measurement,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,how to decide which ai search prompts to track,how_to,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,google s ai search optimization guide what to do next,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,how to get indexed by chatgpt 2026,how_to,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,faqs for aeo how to structure answers that rank in answer engines,how_to,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,schema markup for aeo how to implement it to boost answer engine visibility in 2026,how_to,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,keyword research for aeo a guide for winning answer engine traffic in 2026,measurement,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,on-page content formats answer engines actually favor new research,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,the multiplier effect how linkedin ads boosts search content and pipeline,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,fear of messing up the hidden emotion driving b2b decisions,other,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,the principles of buyability why strong deals stall and what separates the vendors who get chosen,vendor_evaluation,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,how to grow your ai search visibility with linkedin content,how_to,5,50,discovery_only,monitor_until_stronger_signal
2026-06-19T03:23:41.891Z,how to rank in ai search results expert best practices,how_to,5,50,discovery_only,monitor_until_stronger_signal
