duplicate_id,canonical_query_id,duplicate_query_id,match_type,match_confidence,merge_decision,reason,reviewer,reviewed_at
dup-0001,dq-0001,dq-0002,canonical_query_key,high,merge,Same canonical query key: employee-generated content,automation,2026-06-20T17:09:07.906Z
dup-0002,dq-0001,dq-0003,canonical_query_key,high,merge,Same canonical query key: employee-generated content,automation,2026-06-20T17:09:07.906Z
dup-0003,dq-0001,dq-0004,canonical_query_key,high,merge,Same canonical query key: employee-generated content,automation,2026-06-20T17:09:07.906Z
dup-0004,dq-0005,dq-0006,canonical_query_key,high,merge,Same canonical query key: employee-generated content examples b2b,automation,2026-06-20T17:09:07.906Z
dup-0005,dq-0005,dq-0007,canonical_query_key,high,merge,Same canonical query key: employee-generated content examples b2b,automation,2026-06-20T17:09:07.907Z
dup-0006,dq-0008,dq-0009,canonical_query_key,high,merge,Same canonical query key: measure employee-generated content beyond impressions,automation,2026-06-20T17:09:07.907Z
dup-0007,dq-0010,dq-0011,canonical_query_key,high,merge,Same canonical query key: employee-generated content employee advocacy,automation,2026-06-20T17:09:07.907Z
dup-0008,dq-0010,dq-0012,canonical_query_key,high,merge,Same canonical query key: employee-generated content employee advocacy,automation,2026-06-20T17:09:07.907Z
dup-0009,dq-0013,dq-0060,canonical_query_key,high,merge,Same canonical query key: employee-generated content it different employee advocacy,automation,2026-06-20T17:09:07.907Z
dup-0010,dq-0014,dq-0061,canonical_query_key,high,merge,Same canonical query key: employee-generated content different employee advocacy,automation,2026-06-20T17:09:07.907Z
dup-0011,dq-0015,dq-0062,canonical_query_key,high,merge,Same canonical query key: do you turn employee expertise into useful linkedin posts,automation,2026-06-20T17:09:07.907Z
dup-0012,dq-0016,dq-0063,canonical_query_key,high,merge,Same canonical query key: good examples employee-generated content in b2b,automation,2026-06-20T17:09:07.907Z
dup-0013,dq-0017,dq-0064,canonical_query_key,high,merge,Same canonical query key: b2b teams measure employee-generated content beyond impressions,automation,2026-06-20T17:09:07.907Z
dup-0014,dq-0018,dq-0065,canonical_query_key,high,merge,Same canonical query key: can b2b teams learn clay lovable gitlab s public content loops,automation,2026-06-20T17:09:07.907Z
dup-0015,dq-0019,dq-0066,canonical_query_key,high,merge,Same canonical query key: b2b sales teams build linkedin content infrastructure,automation,2026-06-20T17:09:07.907Z
dup-0016,dq-0051,dq-0067,canonical_query_key,high,merge,Same canonical query key: schema markup aeo implement it boost answer engine visibility in 2026,automation,2026-06-20T17:09:07.907Z
dup-0017,dq-0052,dq-0068,canonical_query_key,high,merge,Same canonical query key: keyword research aeo guide winning answer engine traffic in 2026,automation,2026-06-20T17:09:07.907Z
dup-0018,dq-0053,dq-0069,canonical_query_key,high,merge,Same canonical query key: on-page content formats answer engines actually favor new research,automation,2026-06-20T17:09:07.907Z
dup-0019,dq-0054,dq-0070,canonical_query_key,high,merge,Same canonical query key: multiplier effect linkedin ads boosts search content pipeline,automation,2026-06-20T17:09:07.907Z
dup-0020,dq-0055,dq-0071,canonical_query_key,high,merge,Same canonical query key: fear messing up hidden emotion driving b2b decisions,automation,2026-06-20T17:09:07.907Z
dup-0021,dq-0056,dq-0072,canonical_query_key,high,merge,Same canonical query key: principles buyability why strong deals stall separates vendors who get chosen,automation,2026-06-20T17:09:07.907Z
dup-0022,dq-0057,dq-0073,canonical_query_key,high,merge,Same canonical query key: grow your ai search visibility linkedin content,automation,2026-06-20T17:09:07.907Z
dup-0023,dq-0058,dq-0074,canonical_query_key,high,merge,Same canonical query key: rank in ai search results expert practices,automation,2026-06-20T17:09:07.907Z
dup-0024,dq-0059,dq-0075,canonical_query_key,high,merge,Same canonical query key: 6 ai prospecting tools our picks 2026,automation,2026-06-20T17:09:07.907Z
dup-0025,dq-0029,dq-0076,canonical_query_key,high,merge,Same canonical query key: teams review employee-generated content without making it generic,automation,2026-06-20T17:09:07.907Z
dup-0026,dq-0030,dq-0078,canonical_query_key,high,merge,Same canonical query key: every employee post linkedin,automation,2026-06-20T17:09:07.907Z
dup-0027,dq-0020,dq-0079,canonical_query_key,high,merge,Same canonical query key: sales outreach tools that integrate your crm our favorite picks 2026,automation,2026-06-20T17:09:07.907Z
dup-0028,dq-0021,dq-0080,canonical_query_key,high,merge,Same canonical query key: future ai in customer relationship management s coming next,automation,2026-06-20T17:09:07.907Z
dup-0029,dq-0022,dq-0081,canonical_query_key,high,merge,Same canonical query key: real ai crm use cases driving revenue growth in 2025,automation,2026-06-20T17:09:07.907Z
dup-0030,dq-0023,dq-0082,canonical_query_key,high,merge,Same canonical query key: 5 ai crms real estate agents 2026 roundup,automation,2026-06-20T17:09:07.907Z
dup-0031,dq-0024,dq-0083,canonical_query_key,high,merge,Same canonical query key: ai agent plain-english guide,automation,2026-06-20T17:09:07.907Z
dup-0032,dq-0025,dq-0084,canonical_query_key,high,merge,Same canonical query key: 10 seo trends i ve seen firsthand in 2026 data,automation,2026-06-20T17:09:07.907Z
dup-0033,dq-0026,dq-0085,canonical_query_key,high,merge,Same canonical query key: why category entry points belong in every ai search strategy,automation,2026-06-20T17:09:07.907Z
dup-0034,dq-0027,dq-0086,canonical_query_key,high,merge,Same canonical query key: prove incremental marketing impact linkedin s new tools,automation,2026-06-20T17:09:07.907Z
dup-0035,dq-0028,dq-0087,canonical_query_key,high,merge,Same canonical query key: automated seo it it works in 2026,automation,2026-06-20T17:09:07.907Z
dup-0036,dq-0031,dq-0088,canonical_query_key,high,merge,Same canonical query key: 9 ways improve seo rankings traffic,automation,2026-06-20T17:09:07.907Z
dup-0037,dq-0032,dq-0089,canonical_query_key,high,merge,Same canonical query key: new guide prove value b2b marketing,automation,2026-06-20T17:09:07.907Z
dup-0038,dq-0033,dq-0090,canonical_query_key,high,merge,Same canonical query key: ai perception-reality gap,automation,2026-06-20T17:09:07.907Z
dup-0039,dq-0034,dq-0091,canonical_query_key,high,merge,Same canonical query key: do answer engines decide which b2b content cite,automation,2026-06-20T17:09:07.907Z
dup-0040,dq-0035,dq-0092,canonical_query_key,high,merge,Same canonical query key: introducing search generative ai performance reports in search console,automation,2026-06-20T17:09:07.907Z
dup-0041,dq-0036,dq-0093,canonical_query_key,high,merge,Same canonical query key: new resource optimizing generative ai in google search,automation,2026-06-20T17:09:07.907Z
dup-0042,dq-0037,dq-0094,canonical_query_key,high,merge,Same canonical query key: 11 ways automate seo agent,automation,2026-06-20T17:09:07.907Z
dup-0043,dq-0038,dq-0095,canonical_query_key,high,merge,Same canonical query key: i use my ai marketing assistant after 200 hours,automation,2026-06-20T17:09:07.907Z
