captured_at,topic,intent,source_count,max_score,evidence_use,recommended_next_action
2026-06-19T06:18:16.250Z,what is employee-generated content,definition,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,measure employee-generated content beyond impressions,measurement,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,employee-generated content vs employee advocacy,comparison,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,How do you turn employee expertise into useful LinkedIn posts?,how_to,7,50,discovery_only,route_to_topic_cartographer_and_source_registry_before_packet
2026-06-19T06:18:16.250Z,What are good examples of employee-generated content in B2B?,examples,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,"What can B2B teams learn from Clay, Lovable, and GitLab's public content loops?",case_study,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,How should B2B sales teams build LinkedIn content infrastructure?,how_to,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,sales outreach tools that integrate with your crm our favorite picks for 2026,vendor_evaluation,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,future of ai in customer relationship management what s coming next,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,real ai crm use cases driving revenue growth in 2025,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,5 best ai crms for real estate agents the 2026 roundup,vendor_evaluation,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,what is an ai agent a plain-english guide,definition,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,10 seo trends i ve seen firsthand in 2026 with data,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,why category entry points belong in every ai search strategy,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how to prove incremental marketing impact with linkedin s new tools,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,automated seo what it is and how it works in 2026,other,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,How should teams review employee-generated content without making it generic?,how_to,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,Should every employee post on LinkedIn?,objection,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,9 ways to improve seo rankings and traffic,measurement,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,a new guide how to prove the value of b2b marketing,how_to,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,the ai perception-reality gap,other,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,How do answer engines decide which B2B content to cite?,aeo_strategy,4,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,introducing search generative ai performance reports in search console,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,a new resource for optimizing for generative ai in google search,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,11 ways to automate seo with agent a,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how i use my ai marketing assistant after 200 hours,other,6,50,discovery_only,monitor_until_stronger_signal
